"AadharID","Name","Speciality","YearsOfExperience"
"D1001","Dr. Meena Joshi","Cardiology","15"
"D1002","Dr. Raj Patel","General","10"
"D1003","Dr. Anita Verma","Neurology","18"
"D1004","Dr. Vikram Singh","Pediatrics","12"
"D1005","Dr. Neha Kapoor","Dermatology","8"
"D1006","Dr. Suresh Shah","Orthopedics","20"
"D1007","Dr. Kiran Rao","Psychiatry","11"
"D1008","Dr. Deepak Sahu","Oncology","16"
"D1009","Dr. Shweta Tiwari","Gynecology","9"
"D1010","Dr. Rohit Shetty","ENT","7"
"D1011","Dr. Anjali Verma","Cardiology","13"
"D1012","Dr. Ajay Gupta","General","14"
"D1013","Dr. Priya Mehra","Neurology","10"
"D1014","Dr. Sunita Sharma","Pediatrics","12"
"D1015","Dr. Ravi Kumar","Dermatology","6"
"D1016","Dr. Pooja Nair","Cardiology","11"
"D1017","Dr. Manoj Das","General","18"
"D1018","Dr. Kavita Jain","Neurology","15"
"D1019","Dr. Tarun Yadav","Pediatrics","9"
"D1020","Dr. Sneha Roy","Dermatology","8"
"D1021","Dr. Gaurav Mittal","Orthopedics","20"
"D1022","Dr. Ritu Sharma","Psychiatry","11"
"D1023","Dr. Sandeep Kumar","Oncology","16"
"D1024","Dr. Arjun Singh","Gynecology","9"
"D1025","Dr. Jyoti Mehra","ENT","7"
"D1026","Dr. Nitin Gupta","Cardiology","13"
"D1027","Dr. Lakshmi Joshi","General","14"
"D1028","Dr. Prakash Patel","Neurology","10"
"D1029","Dr. Asha Kapoor","Pediatrics","12"
"D1030","Dr. Karan Singh","Dermatology","6"
"D1031","Dr. Rakesh Raina","Cardiology","11"
"D1032","Dr. Ananya Verma","General","18"
"D1033","Dr. Kunal Rao","Neurology","15"
"D1034","Dr. Deepali Sahu","Pediatrics","9"
"D1035","Dr. Shikha Tiwari","Dermatology","8"
"D1036","Dr. Rahul Shetty","Orthopedics","20"
"D1037","Dr. Pankaj Nair","Psychiatry","11"
"D1038","Dr. Manisha Das","Oncology","16"
"D1039","Dr. Kavya Jain","Gynecology","9"
"D1040","Dr. Tarun Yadav","ENT","7"
"D1041","Dr. Sneha Roy","Cardiology","13"
"D1042","Dr. Gaurav Mittal","General","14"
"D1043","Dr. Ritu Sharma","Neurology","10"
"D1044","Dr. Sandeep Kumar","Pediatrics","12"
"D1045","Dr. Arjun Singh","Dermatology","6"
"D1046","Dr. Jyoti Mehra","Cardiology","11"
"D1047","Dr. Nitin Gupta","General","18"
"D1048","Dr. Lakshmi Joshi","Neurology","15"
"D1049","Dr. Prakash Patel","Pediatrics","9"
"D1050","Dr. Asha Kapoor","Dermatology","8"
